request_id,run_id,source_team,priority,status,statement,acceptance_criteria_refs,constraint_refs,evidence_refs,assignee,supersedes_request_id
CR-0013,run_2026-02-10_001,blue,P1,open,"Map voice-lead rules by context (owned-channel marketing vs publication-grade educational content) and define user-facing transition principles that preserve trust.","[""pipeline/01_blue_output.md""]","[]","[]",green,""
CR-0014,run_2026-02-10_001,blue,P1,open,"Enumerate exploit patterns where informative framing masks overclaims or persuasive framing degrades editorial credibility; define fail-state detection cues.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]","[]","[]",red,""
CR-0015,run_2026-02-10_001,blue,P1,open,"Synthesize dual-voice governance and publication-authority lane into one integrated directive preserving unresolved tradeoffs explicitly for QA prioritization.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]","[]","[]",grey,""
CR-0011,run_2026-02-10_001,red,P1,open,"Publish a versioned claim-boundary lexicon for nutrition messaging with allowed/disallowed term classes, adversarial counterexamples, and explicit fail-on-phrase tests consumable by review gates.","[""pipeline/02_red_output.md"", ""teams/white/spec.md""]","[]","[]",white,""
CR-0012,run_2026-02-10_001,red,P1,open,"Define a semantic contradiction checker spec: one canonical definition per term (clarity, confidence, trustworthy guidance) plus pass/fail examples showing cross-team misuse and required normalization decisions.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]","[]","[]",white,""
CR-0011,run_2026-02-10_001,white,P1,open,"Create canonical lexical guardrail artifact with allowed/disallowed examples and explicit fail tests for overclaim implication, efficacy-adjacent wording, and judgment framing.","[""pipeline/05_white_output.md"", ""pipeline/02_red_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[]",qa_fixer,""
CR-0012,run_2026-02-10_001,white,P1,open,"Require provenance metadata fields in review/approval artifacts: prompt version, model/version, source input hash, editor log, confidence label, and approval timestamp.","[""pipeline/05_white_output.md"", ""pipeline/02_red_output.md""]","[""teams/shared/HANDOFF_PROTOCOL.md"", ""teams/qa_fixer/spec.md""]","[]",qa_fixer,""
CR-0016,run_2026-02-10_001,blue,P1,open,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/01_blue_output.md"", ""teams/white/spec.md""]","[]","[]",white,"CR-0011"
CR-0017,run_2026-02-10_001,blue,P1,open,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]","[]","[]",white,"CR-0012"
CR-0018,run_2026-02-10_001,white,P1,open,"Create canonical lexical guardrail artifact with allowed/disallowed examples and explicit fail tests for overclaim implication, efficacy-adjacent wording, and judgment framing.","[""pipeline/05_white_output.md"", ""pipeline/02_red_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[]",qa_fixer,""
CR-0019,run_2026-02-10_001,white,P1,open,"Require provenance metadata fields in review/approval artifacts: prompt version, model/version, source input hash, editor log, confidence label, and approval timestamp.","[""pipeline/05_white_output.md"", ""pipeline/02_red_output.md""]","[""teams/shared/HANDOFF_PROTOCOL.md"", ""teams/qa_fixer/spec.md""]","[]",qa_fixer,""
CR-RED-0011,run_2026-02-10_001,red,P1,open,"Publish a versioned claim-boundary lexicon for nutrition messaging with allowed/disallowed term classes, adversarial counterexamples, and explicit fail-on-phrase tests consumable by review gates.","[""pipeline/02_red_output.md"", ""teams/white/spec.md""]","[]","[]",white,"CR-0011"
CR-RED-0012,run_2026-02-10_001,red,P1,open,"Define a semantic contradiction checker spec: one canonical definition per term (clarity, confidence, trustworthy guidance) plus pass/fail examples showing cross-team misuse and required normalization decisions.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]","[]","[]",white,"CR-0012"
CR-GREEN-0001,run_2026-02-10_001,green,P1,open,"Define mode-specific hard constraints and warning thresholds (educational vs promotional) at each review label (`explore`, `draft`, `approved`) so first-time users can predict allowed output behavior before submission.","[""pipeline/03_green_output.md"", ""pipeline/05_white_output.md""]","[""teams/black/spec.md"", ""planning/BUDGET_GUARDRAILS_STANDARD.md""]","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]",black,
CR-GREEN-0002,run_2026-02-10_001,green,P1,open,"Publish user-facing canonical definitions and pass/fail examples for mode+label combinations to prevent interpretation drift during onboarding and review.","[""pipeline/03_green_output.md"", ""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/02_red_output.md""]",white,
CR-GREEN-0003,run_2026-02-10_001,green,P2,open,"Specify constraint-bound starter presets for common packaging asset types (pouch, bottle, jug, box) with minimal required fields and explicit fail conditions for realism/provenance gaps.","[""pipeline/03_green_output.md"", ""pipeline/02_red_output.md""]","[""teams/black/spec.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]","[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md""]",black,
CR-0020-BLUE,run_2026-02-10_001,blue,P1,open,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/01_blue_output.md"", ""teams/white/spec.md""]","[]","[]",white,"CR-0016"
CR-0021-BLUE,run_2026-02-10_001,blue,P1,open,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]","[]","[]",white,"CR-0017"
CR-0022-BLUE,run_2026-02-10_001,blue,P1,open,"Define publication-grade evidence and attribution language boundaries for educational vs promotional content classes, including required qualifier patterns and disallowed authority signals.","[""pipeline/01_blue_output.md"", ""pipeline/05_white_output.md"", ""teams/white/spec.md""]","[]","[]",white,""
CR-0023-BLUE,run_2026-02-10_001,blue,P1,open,"Define claim-level confidence labeling rubric (section and sentence scope) with pass/fail examples and contradiction handling rules.","[""pipeline/01_blue_output.md"", ""pipeline/05_white_output.md"", ""teams/white/spec.md""]","[]","[]",white,""
CR-0024-BLUE,run_2026-02-10_001,blue,P1,open,"Enumerate adversarial editorial exploit patterns where neutral educational tone is used to smuggle promotional overreach; provide detection cues and fail states.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]","[]","[]",red,""
CR-0025-BLUE,run_2026-02-10_001,blue,P1,open,"Map dual-voice transition rules for external publication pieces versus owned-channel campaigns, including user expectation continuity checkpoints.","[""pipeline/01_blue_output.md"", ""pipeline/03_green_output.md""]","[]","[]",green,""
CR-0026-BLUE,run_2026-02-10_001,blue,P1,open,"Define hard submission constraints for external editorial placements: traceability minimums, bounded-claim requirements, and prohibited implication classes.","[""pipeline/01_blue_output.md"", ""pipeline/05_white_output.md""]","[]","[]",black,""
CR-0027-BLUE,run_2026-02-10_001,blue,P1,open,"Synthesize CR-0022-BLUE through CR-0026-BLUE into one prioritized execution path with explicit unresolved-tradeoff capture for QA readiness.","[""pipeline/01_blue_output.md"", ""pipeline/06_grey_output.md""]","[]","[]",grey,""
CR-RED-0013,run_2026-02-10_001,red,P1,open,"Publish an adversarial lexical minimal-pair suite that tests semantic drift between educational and persuasive modes under synonym/paraphrase substitutions with explicit pass/fail criteria.","[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md"", ""pipeline/03_green_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[]",white,""
CR-RED-0014,run_2026-02-10_001,red,P1,open,"Define context-window fail tests that reject bounded safe phrases when co-occurring with urgency, fear pressure, or implied therapeutic certainty within the same artifact segment.","[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md""]","[""teams/white/spec.md""]","[]",white,""
CR-RED-0015,run_2026-02-10_001,red,P2,open,"Specify canonical superseded-ID citation rules for narrative artifacts so audit and incident review consistently map legacy IDs to active team-scoped IDs.","[""pipeline/02_red_output.md"", ""data/team_ops/change_request_queue.csv""]","[""teams/white/spec.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]","[]",white,""
CR-RED-0016,run_2026-02-10_001,red,P1,open,"Define hard sign-off constraints requiring machine-verifiable linkage between review labels (`explore`,`draft`,`approved`) and White lexical pass/fail test outcomes before approval.","[""pipeline/02_red_output.md"", ""pipeline/03_green_output.md"", ""pipeline/05_white_output.md""]","[""teams/black/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[]",black,""
CR-RED-0017,run_2026-02-10_001,red,P1,open,"Define exploit-pattern mutation classes (synonym, clause reordering, qualifier inversion, authority-signal substitution) with required fail invariants and coverage thresholds for White review artifacts.","[""pipeline/02_red_output.md"", ""pipeline/01_blue_output.md"", ""pipeline/05_white_output.md""]","[""teams/white/spec.md""]","[]",white,""
CR-RED-0018,run_2026-02-10_001,red,P1,open,"Publish authority-signal red-flag taxonomy for educational-mode content including prohibited comparative constructs and selective-uncertainty patterns with pass/fail examples.","[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[]",white,""
CR-RED-0019,run_2026-02-10_001,red,P1,open,"Synthesize Red/White exploit controls into an auditable acceptance checklist that maps each exploit class to deterministic evidence requirements and unresolved-risk annotations.","[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md"", ""pipeline/06_grey_output.md""]","[""teams/grey/spec.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]","[]",grey,""
CR-BLACK-0001,run_2026-02-10_001,black,P1,open,"Add a machine-checkable budget-envelope preflight gate that blocks execution when any required envelope field or fallback mode is missing.","[""pipeline/04_black_output.md""]","[""planning/BUDGET_GUARDRAILS_STANDARD.md"", ""planning/RELEASE_GATES_POLICY.md""]","[""pipeline/03_green_output.md"", ""pipeline/02_red_output.md""]",qa_fixer,""
CR-BLACK-0002,run_2026-02-10_001,black,P1,open,"Require a release-gate log row for every publish decision and block publish when the row is absent or any mandatory gate is red.","[""pipeline/04_black_output.md""]","[""planning/RELEASE_GATES_POLICY.md"", ""teams/shared/PIPELINE_RUNBOOK.md""]","[""planning/reports/RELEASE_GATE_LOG.csv""]",qa_fixer,""
CR-BLACK-0003,run_2026-02-10_001,black,P1,open,"Enforce deterministic approval linkage: mode label, White lexical pass result, evidence/caveat mapping, and provenance bundle must co-exist before status can be set to approved.","[""pipeline/04_black_output.md""]","[""planning/AGENT_ROLE_CONTRACTS.md"", ""planning/ROLE_ESCALATION_PROTOCOL.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]","[""pipeline/02_red_output.md"", ""pipeline/03_green_output.md"", ""pipeline/05_white_output.md""]",qa_fixer,""
CR-BLACK-0004,run_2026-02-10_001,black,P1,open,"Add external editorial submission constraints that require bounded-claim class, confidence label, caveat/evidence mapping, and prohibited-implication scan pass before submission.","[""pipeline/04_black_output.md""]","[""planning/RELEASE_GATES_POLICY.md"", ""planning/AGENT_ROLE_CONTRACTS.md""]","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""pipeline/05_white_output.md""]",qa_fixer,""
CR-WHITE-0001,run_2026-02-10_001,white,P1,open,"Implement White v1 lexical contract artifact with allowed/disallowed term classes, authority-signal taxonomy, adversarial minimal-pair tests, context-window fail tests, and mutation-class coverage thresholds.","[""pipeline/05_white_output.md""]","[""teams/qa_fixer/spec.md"",""teams/shared/OPERATING_DOCTRINE.md""]",[],qa_fixer,""
CR-WHITE-0002,run_2026-02-10_001,white,P1,open,"Implement review metadata contract enforcing mode label, confidence label, evidence/caveat map, provenance fields, and canonical superseded-ID citation checks in approval artifacts.","[""pipeline/05_white_output.md"",""teams/shared/HANDOFF_PROTOCOL.md""]","[""teams/qa_fixer/spec.md"",""teams/shared/HANDOFF_PROTOCOL.md""]",[],qa_fixer,""
CR-0005,run_2026-02-10_001,blue,P1,done,"Create canonical definitions and review tests for clarity, confidence, and trustworthy guidance to reduce semantic drift across teams.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0005
CR-0009,run_2026-02-10_001,red,P1,done,Create canonical lexical guardrails distinguishing educational nutrition guidance from efficacy/clinical implication language and encode review fail examples.,"[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0009
CR-0011,run_2026-02-10_001,blue,P1,done,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0011
CR-0012,run_2026-02-10_001,blue,P1,done,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0012
CR-0011,run_2026-02-10_001,red,P1,done,"Publish a versioned claim-boundary lexicon for nutrition messaging with allowed/disallowed term classes, adversarial counterexamples, and explicit fail-on-phrase tests consumable by review gates.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0011
CR-0012,run_2026-02-10_001,red,P1,done,"Define a semantic contradiction checker spec: one canonical definition per term (clarity, confidence, trustworthy guidance) plus pass/fail examples showing cross-team misuse and required normalization decisions.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0012
CR-0016,run_2026-02-10_001,blue,P1,done,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0016
CR-0017,run_2026-02-10_001,blue,P1,done,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0017
CR-RED-0011,run_2026-02-10_001,red,P1,done,"Publish a versioned claim-boundary lexicon for nutrition messaging with allowed/disallowed term classes, adversarial counterexamples, and explicit fail-on-phrase tests consumable by review gates.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-RED-0011
CR-RED-0012,run_2026-02-10_001,red,P1,done,"Define a semantic contradiction checker spec: one canonical definition per term (clarity, confidence, trustworthy guidance) plus pass/fail examples showing cross-team misuse and required normalization decisions.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-RED-0012
CR-GREEN-0002,run_2026-02-10_001,green,P1,done,Publish user-facing canonical definitions and pass/fail examples for mode+label combinations to prevent interpretation drift during onboarding and review.,"[""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/05_white_output.md""]",white,CR-GREEN-0002
CR-0020-BLUE,run_2026-02-10_001,blue,P1,done,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0020-BLUE
CR-0021-BLUE,run_2026-02-10_001,blue,P1,done,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0021-BLUE
CR-0022-BLUE,run_2026-02-10_001,blue,P1,done,"Define publication-grade evidence and attribution language boundaries for educational vs promotional content classes, including required qualifier patterns and disallowed authority signals.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0022-BLUE
CR-0023-BLUE,run_2026-02-10_001,blue,P1,done,Define claim-level confidence labeling rubric (section and sentence scope) with pass/fail examples and contradiction handling rules.,"[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0023-BLUE
CR-RED-0013,run_2026-02-10_001,red,P1,done,Publish an adversarial lexical minimal-pair suite that tests semantic drift between educational and persuasive modes under synonym/paraphrase substitutions with explicit pass/fail criteria.,"[""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0013
CR-RED-0014,run_2026-02-10_001,red,P1,done,"Define context-window fail tests that reject bounded safe phrases when co-occurring with urgency, fear pressure, or implied therapeutic certainty within the same artifact segment.","[""pipeline/05_white_output.md""]","[""teams/white/spec.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0014
CR-RED-0015,run_2026-02-10_001,red,P2,done,Specify canonical superseded-ID citation rules for narrative artifacts so audit and incident review consistently map legacy IDs to active team-scoped IDs.,"[""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0015
CR-RED-0017,run_2026-02-10_001,red,P1,done,"Define exploit-pattern mutation classes (synonym, clause reordering, qualifier inversion, authority-signal substitution) with required fail invariants and coverage thresholds for White review artifacts.","[""pipeline/05_white_output.md""]","[""teams/white/spec.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0017
CR-RED-0018,run_2026-02-10_001,red,P1,done,Publish authority-signal red-flag taxonomy for educational-mode content including prohibited comparative constructs and selective-uncertainty patterns with pass/fail examples.,"[""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0018
CR-RED-0020,run_2026-02-10_001,red,P1,done,"Completion record for CR-0002: trust failure-mode stress test delivered with explicit confusion/overclaim/judgment fail states and abuse vectors.","[""pipeline/02_red_output.md""]","[]","[""pipeline/02_red_output.md""]",red,"CR-0002"
CR-RED-0021,run_2026-02-10_001,red,P1,done,"Completion record for CR-0014: exploit patterns where informative framing masks overclaim/persuasive overreach were enumerated and severity-tagged.","[""pipeline/02_red_output.md""]","[]","[""pipeline/02_red_output.md""]",red,"CR-0014"
CR-RED-0022,run_2026-02-10_001,red,P1,done,"Completion record for CR-0024-BLUE: adversarial editorial exploit patterns for neutral-tone smuggling and detection cues were delivered.","[""pipeline/02_red_output.md""]","[]","[""pipeline/02_red_output.md""]",red,"CR-0024-BLUE"
CR-GREEN-0004,run_2026-02-10_001,green,P1,open,"Define hard context-bound voice constraints for owned-channel vs external-publication assets, including mandatory continuity sentence and mode-label gates by review state.","[""pipeline/03_green_output.md""]","[""teams/black/spec.md"", ""planning/RELEASE_GATES_POLICY.md""]","[""pipeline/03_green_output.md"", ""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]",black,
CR-GREEN-0005,run_2026-02-10_001,green,P1,open,"Publish canonical user-facing fail-state definitions (confusion, overclaim, judgment) mapped to journey stages and mode labels with pass/fail examples.","[""pipeline/03_green_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/03_green_output.md"", ""pipeline/05_white_output.md""]",white,
CR-GREEN-0006,run_2026-02-10_001,green,P1,open,"Synthesize Green journey defaults and transition continuity rules with existing Red/White controls into one prioritized QA-ready directive with unresolved tradeoffs preserved.","[""pipeline/03_green_output.md"", ""pipeline/06_grey_output.md""]","[""teams/grey/spec.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]","[""pipeline/03_green_output.md"", ""pipeline/02_red_output.md"", ""pipeline/05_white_output.md""]",grey,
CR-0003,run_2026-02-10_001,blue,P1,done,"Translate Blue intent into audience journey framing that increases felt clarity and confidence from first exposure through repeat purchase.","[""pipeline/03_green_output.md""]",[],"[""pipeline/03_green_output.md""]",green,CR-0003
CR-0007,run_2026-02-10_001,red,P1,done,"Define explicit narrative fail-state tests for confusion, overclaim implication, and judgmental framing, mapped to discovery/evaluation/repeat-purchase journey checkpoints.","[""pipeline/03_green_output.md""]",[],"[""pipeline/03_green_output.md""]",green,CR-0007
CR-0013,run_2026-02-10_001,blue,P1,done,"Map voice-lead rules by context (owned-channel marketing vs publication-grade educational content) and define user-facing transition principles that preserve trust.","[""pipeline/03_green_output.md""]",[],"[""pipeline/03_green_output.md""]",green,CR-0013
CR-0025-BLUE,run_2026-02-10_001,blue,P1,done,"Map dual-voice transition rules for external publication pieces versus owned-channel campaigns, including user expectation continuity checkpoints.","[""pipeline/03_green_output.md""]",[],"[""pipeline/03_green_output.md""]",green,CR-0025-BLUE
